WordSequence,Predicate,StartOfDialogueAgent,EndOfDialogueAgent,StartOfDialogue,EndOfDialogue
"['许七安', '直截了当', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['王捕头皱眉', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['有人', '不服', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '回应', '吃惊', '的', '同僚们', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['王捕头', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['他', '搜刮肚肠', '的', '想', '办法', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['朱县令笑', '了', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['王捕头下意识', '的问', ',', '道', ':', '「', '对话', '内容', '」']",3,0,1,5,8
"['许七安', '低声', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['跟丁', '一脸不信', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '打开', '话题', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['杨珍珍', '这回', '是', '真的', '没', '听懂', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['许七安面无表情', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安', '敲', '了敲', '桌子', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许七安', '故意', '这么', '说', ':', '「', '对话', '内容', '」']",3,0,0,1,1
"['许七安', '在', '心里', '告诉', '自己', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['许七安', '一发彩虹屁丢', '过去', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['王捕头', '拒绝', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['王捕头脸上', '浮现', '惊艳神色', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['王捕头', '吹', '着', '不要钱', '的', '牛皮', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['许七安', '心里', '一动', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '低声自语', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '试探道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['她', '含糊不清', '的', '叫', '了', '一', '声', ',', '道', ':', '「', '对话', '内容', '」']",8,0,0,10,13
"['许七安问', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许平志', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '忽然', '问', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许新年', '遗憾', '摇头', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安问', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安笑出声', '了', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '淡淡道', ':', '「', '对话', '内容', '」']",,,,,
"['许二叔', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许新年', '问道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '擦', '着', '汗', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许七安', '敷衍道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安点点头', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['另', '一', '位', '学子', '参与', '话题', ',', '道', ':', '「', '对话', '内容', '」']",7,0,3,9,12
"['他', '喃喃道', ':', '「', '对话', '内容', '」']",,,,,
"['张慎冷哼', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '心里', '叹息', '一', '声', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['许七安', '灵机一动', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['小豆丁', '的', '小脸上', '露出', '警惕', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许玲月', '淡淡道', ':', '「', '对话', '内容', '」']",,,,,
"['小豆丁脆生生道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '回答', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安松', '了', '口气', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['锦衣公子', '狞声', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['周公子', '指着', '朱县令', '的', '鼻子', '破口大骂', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['朱县令笑呵呵的', '把', '讼书', '收回袖中', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['王捕头骂骂咧咧', '的', '冲出', '了', '县衙', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['锦衣公子', '大喜过望', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许平志大急', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['老者', '一脸', '慈祥', '笑容', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许平志', '一字', '一句道', ':', '「', '对话', '内容', '」']",,,,,
"['王捕头', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['王捕头落荒而逃', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['宋卿', '低声自语', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['白衣师弟们', '追', '着', '下楼', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许新年', '有些', '懊悔', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许新年', '进行', '着', '人生里', '第N', '次', '自省', ',', '道', ':', '「', '对话', '内容', '」']",8,0,0,10,13
"['许新年', '将', '父亲', '告之', '的', '事', '复述', '了', '一', '遍', ',', '道', ':', '「', '对话', '内容', '」']",11,0,0,13,16
"['许新年', '点头', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许新年急道', ':', '「', '对话', '内容', '」']",,,,,
"['李慕白', '大怒', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['狱卒', '嘲讽', '的', '笑着', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['刑部', '给事中', '顿时', '来劲', '了', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['一', '名衙役为难道', ':', '「', '对话', '内容', '」']",,,,,
"['另', '一', '名', '狱卒', '骂道', ':', '「', '对话', '内容', '」']",4,0,3,6,9
"['周公子', '猖狂', '大笑', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['孙尚书面无表情道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安点点头', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安', '忽然', '停住', '脚步', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['周公子惊的', '连连后退', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['李慕白', '笑呵呵的', '抚', '着', '山羊须', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['许二郎', '拂袖而去', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['宋卿', '问道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['宋卿', '从', '许七安', '的', '眼神', '里', '看到', '了', '‘', '平平无奇', '’', '四', '个', '字', ',', '道', ':', '「', '对话', '内容', '」']",15,0,0,17,20
"['许七安', '已经', '从', '宋卿', '那里', '知道', ':', '「', '对话', '内容', '」']",5,0,0,1,1
"['褚采薇', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['褚采薇', '吮吸', '指头', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '挑', '了挑眉', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '吃', '的', '不亦乐乎', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '抬头', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '有些', '羡慕花里胡哨', '的', '术士', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,1,4
"['许七安', '侃侃而谈', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许新年', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['朱县令', '心里', '想着', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['宋卿', '迫切', '的', '追问', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['宋卿', '一下子', '很', '激动', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['宋卿', '已经', '把', '许七安', '当做', '同道', ':', '「', '对话', '内容', '」']",,,,,
"['宋卿', '激动', '的', '大吼大叫', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['绿娥', '细声细气道', ':', '「', '对话', '内容', '」']",,,,,
"['绿娥', '嘀咕', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['许七安', '轻轻', '一脚', '踢', '在', '她', '小屁股蛋', '上', ',', '道', ':', '「', '对话', '内容', '」']",9,0,0,11,14
"['许七安', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许平志道', ':', '「', '对话', '内容', '」']",,,,,
"['许二叔', '下意识', '的问', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,1,2
"['许七安', '充分', '发挥', '他', '的', '逻辑', '推理', '能力', ',', '道', ':', '「', '对话', '内容', '」']",9,0,0,11,14
"['许新年', '嘴角', '一', '挑', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许新年', '灿若星辰', '的', '眼睛', '里', '闪过', '阴狠之色', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '从', '自己', '拿手', '的', '话题', '入门', ',', '道', ':', '「', '对话', '内容', '」']",8,0,0,10,13
"['许七安', '惋惜', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['许七安', '欣慰', '的', '想', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许玲月', '羞愤', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['许七安', '斟酌', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['摊主', '一', '看', '就', '知道', ':', '「', '对话', '内容', '」']",4,0,0,3,3
"['许七安', '挥手', '把', '摊主', '赶走', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['许新年', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['李慕白', '生气', '了', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['他', '提议', '道', ':', '「', '对话', '内容', '」']",1,0,0,4,7
"['李慕白', '摇头', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['张慎', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['陈泰', '微微', '颔首', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['张慎道', ':', '「', '对话', '内容', '」']",,,,,
"['李慕白试探道', ':', '「', '对话', '内容', '」']",,,,,
"['穿着', '儒衫', '假装', '自己', '真的', '是', '读书人', '的', '许七安作揖', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['陈泰笑道', ':', '「', '对话', '内容', '」']",,,,,
"['李慕白', '和', '张慎勃然大怒', ',', '道', ':', '「', '对话', '内容', '」']",4,0,2,6,9
"['许七安', '九十度', '弯腰作揖', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '捕捉', '到', '了', '关键词', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['有', '学子', '认', '了', '出来', ',', '道', ':', '「', '对话', '内容', '」']",6,1,1,8,11
"['张慎', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['李慕白', '恨声道', ':', '「', '对话', '内容', '」']",,,,,
"['院长', '笑呵呵的', '饮茶', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['赵守', '叹息', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['长公主', '眼中', '闪过', '异色', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['陈泰道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安话锋', '一转', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['他', '问道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '心里', '一动', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '把', '目光', '转回', '碑文', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['许七安', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '心里', '有', '了', '猜测', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['张慎喃喃道', ':', '「', '对话', '内容', '」']",,,,,
"['长公主', '目光', '遥望', '学宫', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['打更人抱拳', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['陈泰和', '张慎一震', ',', '道', ':', '「', '对话', '内容', '」']",3,0,1,5,8
"['许七安', '反问', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许新年', '骄傲', '的', '抬起下巴', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许七安', '侃侃而谈', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许辞旧喃喃的', '重复', '这', '四', '个', '字', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '敲', '了敲', '柜台', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许七安笑道', ':', '「', '对话', '内容', '」']",,,,,
"['被', '称为玉姐姐', '的', '女子', '拉扯', '了', '一下', '她', '的', '衣袖', ',', '道', ':', '「', '对话', '内容', '」']",11,0,3,13,16
"['她', '指', '着', '一', '块', '木签', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['店家', '傻眼', '了', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['年长', '的', '女子', '训斥', ',', '道', ':', '「', '对话', '内容', '」']",5,0,2,7,10
"['店家', '脸色', '苍白', '的', '呼唤', '打断', '了', '沉思', '的', '许七安', ',', '道', ':', '「', '对话', '内容', '」']",11,0,4,13,16
"['店家', '咬牙切齿', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许铃音', '自告奋勇', '的', '迈', '着', '小短腿', '钻进', '花圃', '里', ',', '道', ':', '「', '对话', '内容', '」']",10,0,0,12,15
"['许二叔', '意外', '的', '看向', '侄儿', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['许七安', '表示', '很', '惊讶', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许二叔', '无奈', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['许二叔', '皱眉', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安沉声', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许辞旧问道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '叹息', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许二叔', '有些', '不信', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许二叔', '表示', '自己', '不', '是', '那种', '留恋', '烟花之', '地', '的', '人', ',', '道', ':', '「', '对话', '内容', '」']",12,2,2,14,17
"['许七安心里嘀咕', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['老道', ':', '「', '对话', '内容', '」']",,,,,
"['许平志', '硬着头皮', '进', '了', '酒屋', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['席上', '有人', '吃', '了', '一惊', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '推', '了', '他', '一下', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['丫鬟', '死死抱住', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安点点头', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许平志', '教导', '儿子', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['赵公子', '质问', '丫鬟', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['丫鬟', '回答', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '吹捧', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['浮香气道', ':', '「', '对话', '内容', '」']",,,,,
"['小丫鬟', '问', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许二叔', '扬眉抱怨', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '把', '自己', '的', '主意', '说', ':', '「', '对话', '内容', '」']",5,0,0,2,4
"['张', '小姐', '发出', '一', '声', '绝望', '的', '哀鸣', ',', '道', ':', '「', '对话', '内容', '」']",9,0,1,11,14
"['许大郎', '习惯性', '的', '刺激二郎', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['张玉英', '崩溃大哭', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['张玉英', '的', '生母气', '的', '浑身', '发抖', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['正妻沉声', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['周立', '只能', '承认', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '半开玩笑', '半', '认真', '的', '说', ':', '「', '对话', '内容', '」']",5,0,0,2,4
"['许玲月', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['张慎道', ':', '「', '对话', '内容', '」']",,,,,
"['那位', '陌生', '的', '银锣沉声道', ':', '「', '对话', '内容', '」']",,,,,
"['李玉春沉声', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['那位', '脸色', '严肃', '的', '银锣', '说', ':', '「', '对话', '内容', '」']",5,0,4,7,10
"['李玉春', '审视', '着', '许七安', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许七安脸不红心不跳', '的', '把', '锅', '甩给', '大眼美人', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['许七安', '真诚', '的', '凝视', '着', '他', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['宋廷风', '发来', '邀请', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['宋廷风', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '反问', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['他', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['杨砚', '问道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['杨砚', '重复', '着', '这', '句', '话', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['李玉春', '给出', '解释', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安问', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['李玉春', '把', '话题', '带', '了', '回来', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['许七安', '皱', '了皱眉', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['李玉春', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '担忧', '的问', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['李玉春', '只能', '这么', '说', ':', '「', '对话', '内容', '」']",3,0,0,1,1
"['魏渊', '笑容温和', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许二叔', '沉声', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['婶婶', '骂道', ':', '「', '对话', '内容', '」']",,,,,
"['宋卿', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['宋卿', '笑', '着', '说', ':', '「', '对话', '内容', '」']",3,0,0,1,2
"['宋廷风', '扭头催促', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['宋廷风', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['宋廷风', '又', '问', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['许七安心里嘀咕', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安', '感慨', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['吕青沉声道', ':', '「', '对话', '内容', '」']",,,,,
"['里长', '似乎', '很', '畏惧', '这个', '女捕头', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['许七安', '关切', '朱广孝', '的', '伤势', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['许七安', '问道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['宋廷风', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['李玉春', '反问', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['他', '喃喃道', ':', '「', '对话', '内容', '」']",,,,,
"['惜字如金', '的', '朱广孝', '开口', ',', '道', ':', '「', '对话', '内容', '」']",5,0,2,7,10
"['富家翁', '打扮', '的', '中年人', '回忆', '片刻', ',', '道', ':', '「', '对话', '内容', '」']",7,0,3,9,12
"['众人', '大惊', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '发现', '了', '华点', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['宋廷风', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['宋廷风', '微微', '震惊', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安扬', '了', '一下眉毛', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '把', '她', '拉进', '浴桶', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
